Sweep configuration name:	Ref_500uOhm_config
Version:	1
Calibration file:	EIS_default_calibration
Type:	Galvanostatic
Sweep Type:	Logarithmic
Intial Frequency:	5000.000000
Final Frequency:	10.000000
Points per decade:	5.000000
Amplitude:	20.000000
Offset:	200.000000
Debug flag:	0

Y_y_CH1_EisZPoint	Y_y_CH1_EisZReal	Y_y_CH1_EisZImaginary	Y_y_CH1_EisZMagnitude	Y_y_CH1_EisZPhase	Y_y_CH1_EisZPhaseRad	Y_y_CH1_EisZRealRaw	Y_y_CH1_EisZImaginaryRaw	Y_y_CH1_EisZMagnitudeRaw	Y_y_CH1_EisZPhaseRaw	Y_y_CH1_EisZPhaseRadRaw	Y_y_CH1_EisZValidity	Y_y_CH1_EisCalibGain	Y_y_CH1_EisCalibPhase	Y_y_CH1_EisCalibOffsetReal	Y_y_CH1_EisCalibOffsetImg	P_x_CH1_RippleFrequency	P_x_CH1_RippleAmplitudeCurrent	P_x_CH1_RippleOffsetCurrent	P_x_CH1_GoertzelDownsamplingRate	P_x_CH1_GoertzelNumberOfPeriods	Y_y_CH1_GoertzelVoltageReal	Y_y_CH1_GoertzelVoltageImaginary	Y_y_CH1_GoertzelCurrentReal	Y_y_CH1_GoertzelCurrentImaginary	Y_y_CH1_GoertzelCoefficient	Y_y_CH1_EisZStartTime	Y_y_CH1_EisZStopTime
1	0.000204	0.005234	0.005238	87.764259	1.531775	0.000204	0.005234	0.005238	87.764259	1.531775	0	1.000000	0.000000	0.000000	0.000000	4761.904785	20.000000	200.000000	6.000000	5000.000000	114087.125000	-13908.572266	-1803478.000000	-21866060.000000	1.652478	2025-06-11-195523	2025-06-11-195527
2	0.000395	0.003286	0.003309	83.140373	1.451073	0.000395	0.003286	0.003309	83.140373	1.451073	0	1.000000	0.000000	0.000000	0.000000	3030.303223	20.000000	200.000000	9.000000	5000.000000	-38962.605469	-56915.710938	-18481118.000000	9634859.000000	1.682507	2025-06-11-195527	2025-06-11-195531
3	0.000478	0.002119	0.002172	77.275711	1.348716	0.000478	0.002119	0.002172	77.275711	1.348716	0	1.000000	0.000000	0.000000	0.000000	1960.784424	20.000000	200.000000	15.000000	5000.000000	44225.476562	2527.412842	5619680.000000	-19604496.000000	1.632394	2025-06-11-195531	2025-06-11-195536
4	0.000506	0.001339	0.001432	69.294579	1.209419	0.000506	0.001339	0.001432	69.294579	1.209419	0	1.000000	0.000000	0.000000	0.000000	1234.567871	20.000000	200.000000	24.000000	5000.000000	-27779.466797	7965.572266	-1655542.375000	20112952.000000	1.627104	2025-06-11-195537	2025-06-11-195543
5	0.000514	0.000868	0.001009	59.390015	1.036551	0.000514	0.000868	0.001009	59.390015	1.036551	0	1.000000	0.000000	0.000000	0.000000	793.650818	20.000000	200.000000	36.000000	2500.000000	-17138.880859	-11729.077148	-18651616.000000	8698991.000000	1.652478	2025-06-11-195543	2025-06-11-195549
6	0.000511	0.000553	0.000753	47.259079	0.824827	0.000511	0.000553	0.000753	47.259079	0.824827	0	1.000000	0.000000	0.000000	0.000000	497.512451	20.000000	200.000000	60.000000	2500.000000	1667.041748	-15380.678711	-13492041.000000	-15480830.000000	1.621701	2025-06-11-195549	2025-06-11-195556
7	0.000508	0.000349	0.000616	34.546593	0.602952	0.000508	0.000349	0.000616	34.546593	0.602952	0	1.000000	0.000000	0.000000	0.000000	314.465424	20.000000	200.000000	90.000000	2500.000000	10382.041016	-7201.645508	7249712.000000	-19179970.000000	1.658811	2025-06-11-195556	2025-06-11-195607
8	0.000505	0.000227	0.000554	24.228323	0.422864	0.000505	0.000227	0.000554	24.228323	0.422864	0	1.000000	0.000000	0.000000	0.000000	199.600800	20.000000	200.000000	150.000000	2500.000000	6097.136719	-9574.333008	2945670.250000	-20287210.000000	1.619507	2025-06-11-195607	2025-06-11-195622
9	0.000500	0.000144	0.000520	16.048080	0.280092	0.000500	0.000144	0.000520	16.048080	0.280092	0	1.000000	0.000000	0.000000	0.000000	125.786171	20.000000	200.000000	225.000000	2500.000000	-2451.115723	10374.948242	985071.000000	20467036.000000	1.658811	2025-06-11-195622	2025-06-11-195645
10	0.000503	0.000095	0.000512	10.664164	0.186125	0.000503	0.000095	0.000512	10.664164	0.186125	0	1.000000	0.000000	0.000000	0.000000	79.176567	20.000000	200.000000	125.000000	125.000000	-4779.954590	9426.567383	-5771749.500000	19835274.000000	1.957187	2025-06-11-195645	2025-06-11-195649
11	0.000502	0.000059	0.000505	6.743371	0.117694	0.000502	0.000059	0.000505	6.743371	0.117694	0	1.000000	0.000000	0.000000	0.000000	49.975014	20.000000	200.000000	225.000000	125.000000	-3168.311523	9931.919922	-3920441.250000	20264330.000000	1.944795	2025-06-11-195649	2025-06-11-195654
12	0.000495	0.000028	0.000496	3.189314	0.055664	0.000495	0.000028	0.000496	3.189314	0.055664	0	1.000000	0.000000	0.000000	0.000000	31.535795	20.000000	200.000000	375.000000	125.000000	-9372.743164	-4125.383789	-19323676.000000	-7250682.000000	1.938967	2025-06-11-195654	2025-06-11-195701
13	0.000498	0.000023	0.000498	2.638874	0.046057	0.000498	0.000023	0.000498	2.638874	0.046057	0	1.000000	0.000000	0.000000	0.000000	19.900499	20.000000	200.000000	625.000000	125.000000	-10017.552734	-2321.512451	-20292880.000000	-3727656.250000	1.932524	2025-06-11-195701	2025-06-11-195710
14	0.000500	0.000013	0.000500	1.454423	0.025384	0.000500	0.000013	0.000500	1.454423	0.025384	0	1.000000	0.000000	0.000000	0.000000	12.559659	20.000000	200.000000	750.000000	125.000000	-2410.006104	-10029.529297	-5330297.000000	-19940370.000000	1.961204	2025-06-11-195710	2025-06-11-195722
